station_id,USAF,WBAN,state,latitude,longitude,avg_wind_speed_ms,ICAO,ICAO_CLEAN,has_icao,NAME,BEGIN,END
72226703878,722267,03878,AL,31.857,-86.01,2.0781347962382863,KTOI,KTOI,True,,19730108,20250827
72226813839,722268,13839,AL,31.318,-85.443,3.191575703094721,KDHN,KDHN,True,,20060101,20250827
72226903850,722269,03850,AL,31.267,-85.717,2.7033471800603777,KOZR,KOZR,True,,19541019,20250825
72227553843,722275,53843,AL,31.306,-86.39,1.928498314817249,K79J,K79J,True,,20060103,20250827
72227653820,722276,53820,AL,31.419,-87.048,1.936881387070948,KGZH,KGZH,True,,20060101,20250827
72227953852,722279,53852,AL,34.658,-86.943,3.029231995747994,KDCU,KDCU,True,,20060101,20250827
72228013876,722280,13876,AL,33.565,-86.745,2.8631549841006434,KBHM,KBHM,True,,19420801,20250827
72228403892,722284,03892,AL,32.616,-85.433,2.979090665235952,KAUO,KAUO,True,,20060101,20250825
72228503896,722285,03896,AL,33.967,-86.083,1.9558653340348344,KGAD,KGAD,True,,20060101,20250825
72228693806,722286,93806,AL,33.212,-87.616,2.330883492637631,KTCL,KTCL,True,,19730101,20250827
72228713871,722287,13871,AL,33.59,-85.848,2.1814645308925584,KANB,KANB,True,,19730101,20250827
72230053864,722300,53864,AL,33.178,-86.782,1.8384323640961973,KEET,KEET,True,,20020101,20250827
72323003856,723230,03856,AL,34.644,-86.786,3.1253606431007444,KHSV,KHSV,True,,19730101,20250827
72323163883,723231,63883,AL,34.679,-86.685,2.940566873339197,KHUA,KHUA,True,,20060103,20250822
72323513896,723235,13896,AL,34.744,-87.6,2.763916203505795,KMSL,KMSL,True,,19730101,20250827
99848599999,998485,99999,AL,30.329,-87.829,4.651416776130529,,,False,,20111007,20250819
99999900440,999999,00440,AL,34.269,-85.858,2.2505835399403797,,,False,,20140731,20250825
99999923801,999999,23801,AL,31.79,-86.0,1.7846442219671403,,,False,,20080115,20250828
99999923802,999999,23802,AL,31.881,-87.737,1.6307023022732432,,,False,,20080118,20250828
99999963857,999999,63857,AL,34.285,-85.962,1.8035708064797145,,,False,,20050414,20250828
99999963858,999999,63858,AL,32.457,-87.242,1.0327817453405357,,,False,,20050526,20250828
99999963867,999999,63867,AL,34.195,-86.796,1.6757737311119705,,,False,,20060504,20250828
99999963868,999999,63868,AL,34.66,-87.346,2.032474249270002,,,False,,20060504,20250828
99999963869,999999,63869,AL,30.549,-87.876,1.311983974917263,,,False,,20060713,20250828
99999963891,999999,63891,AL,32.852,-86.612,1.602791778633175,,,False,,20070314,20250828
99999963892,999999,63892,AL,32.837,-88.137,1.6028164717844615,,,False,,20070316,20250828
99999963893,999999,63893,AL,32.717,-87.623,1.1470292497929306,,,False,,20070315,20250828
99999963894,999999,63894,AL,34.773,-87.64,2.423412352565227,,,False,,20070425,20250828
99999963897,999999,63897,AL,32.335,-86.979,2.2749611174906086,,,False,,20070315,20250828
99999963899,999999,63899,AL,31.145,-87.052,1.3008080338327832,,,False,,20080117,20250828
99999973801,999999,73801,AL,33.217,-87.593,1.2725866651175646,,,False,,20090521,20250828
99999973802,999999,73802,AL,31.916,-86.312,2.294348759751062,,,False,,20081202,20250828
99999973803,999999,73803,AL,33.572,-86.057,2.344156580113652,,,False,,20081203,20250828
A0001363847,A00013,63847,AL,34.474,-85.721,1.964330133429712,K4A9,K4A9,True,,20060101,20250826
A5125500445,A51255,00445,AL,32.464,-87.954,1.298837520042761,KDYA,KDYA,True,,20140731,20250826
72017253996,720172,53996,AR,34.545,-94.203,1.7553485576921022,KMEZ,KMEZ,True,,20060101,20250825
72017553919,720175,53919,AR,33.636,-91.756,2.613879250520509,KLLQ,KLLQ,True,,20050101,20250827
72037713917,720377,13917,AR,35.633,-91.167,4.203419726421798,KM19,KM19,True,,20060501,20250825
72039400428,720394,00428,AR,34.1,-93.066,1.877978817299307,KADF,KADF,True,,20130501,20250825
72040100133,720401,00133,AR,35.6,-92.45,1.3030132390822042,KCCA,KCCA,True,,20070628,20250825
72082799999,720827,99999,AR,34.808,-91.712,3.615816012789829,K4M3,K4M3,True,,20240807,20250824
72205453959,722054,53959,AR,35.14,-90.236,3.317331963604264,KAWM,KAWM,True,,20050101,20250827
72218853985,722188,53985,AR,35.212,-91.737,2.5660957950432186,KSRC,KSRC,True,,20060101,20250825
72340313963,723403,13963,AR,34.727,-92.236,3.320184317872718,KLIT,KLIT,True,,19900228,20250827
72340503930,723405,03930,AR,34.917,-92.15,2.6796749854903235,KLRF,KLRF,True,,19560101,20250825
