date,region,capacity_factor
1995-06-16,CA,0.074558
1995-06-16,FL,0.049447
1995-06-16,MN,0.102858
1995-06-16,TX,0.089257
1995-06-17,CA,0.033479
1995-06-17,FL,0.047818
1995-06-17,MN,0.071596
1995-06-17,TX,0.080112
1995-06-18,CA,0.057172
1995-06-18,FL,0.018817
1995-06-18,MN,0.041668
1995-06-18,TX,0.066239
1995-06-19,CA,0.065873
1995-06-19,FL,0.009532
1995-06-19,MN,0.028727
1995-06-19,TX,0.04094
1995-06-20,CA,0.074979
1995-06-20,FL,0.016533
1995-06-20,MN,0.018237
1995-06-20,TX,0.028895
1995-06-21,CA,0.042501
1995-06-21,FL,0.031449
1995-06-21,MN,0.013279
1995-06-21,TX,0.023561
1995-06-22,CA,0.02866
1995-06-22,FL,0.019341
1995-06-22,MN,0.026869
1995-06-22,TX,0.026811
1995-06-23,CA,0.026144
1995-06-23,FL,0.020679
1995-06-23,MN,0.018441
1995-06-23,TX,0.026154
1995-06-24,CA,0.019838
1995-06-24,FL,0.017766
1995-06-24,MN,0.010555
1995-06-24,TX,0.032322
1995-06-25,CA,0.020599
1995-06-25,FL,0.027414
1995-06-25,MN,0.016027
1995-06-25,TX,0.045772
1995-06-26,CA,0.028554
1995-06-26,FL,0.03008
1995-06-26,MN,0.018278
1995-06-26,TX,0.023677
1995-06-27,CA,0.036487
1995-06-27,FL,0.011625
1995-06-27,MN,0.005321
1995-06-27,TX,0.035183
1995-06-28,CA,0.031805
1995-06-28,FL,0.012134
1995-06-28,MN,0.011996
1995-06-28,TX,0.03537
1995-06-29,CA,0.042787
1995-06-29,FL,0.013017
1995-06-29,MN,0.055298
1995-06-29,TX,0.060004
1995-06-30,CA,0.046152
1995-06-30,FL,0.012557
1995-06-30,MN,0.099405
1995-06-30,TX,0.057856
1995-07-01,CA,0.040799
1995-07-01,FL,0.008109
1995-07-01,MN,0.013394
1995-07-01,TX,0.023829
1995-07-02,CA,0.046124
1995-07-02,FL,0.015462
1995-07-02,MN,0.040707
1995-07-02,TX,0.027545
1995-07-03,CA,0.072917
1995-07-03,FL,0.018113
1995-07-03,MN,0.055423
1995-07-03,TX,0.123865
1995-07-04,CA,0.042194
1995-07-04,FL,0.012921
1995-07-04,MN,0.033787
1995-07-04,TX,0.200899
1995-07-05,CA,0.032172
1995-07-05,FL,0.016216
1995-07-05,MN,0.075839
1995-07-05,TX,0.096023
1995-07-06,CA,0.047422
1995-07-06,FL,0.013816
1995-07-06,MN,0.226451
1995-07-06,TX,0.037989
1995-07-07,CA,0.034584
1995-07-07,FL,0.013122
1995-07-07,MN,0.023132
1995-07-07,TX,0.025625
1995-07-08,CA,0.031894
1995-07-08,FL,0.011861
1995-07-08,MN,0.015734
1995-07-08,TX,0.015368
1995-07-09,CA,0.054293
1995-07-09,FL,0.019125
1995-07-09,MN,0.009812
1995-07-09,TX,0.016765
1995-07-10,CA,0.057031
1995-07-10,FL,0.028378
1995-07-10,MN,0.009017
1995-07-10,TX,0.015537
1995-07-11,CA,0.069534
1995-07-11,FL,0.016018
1995-07-11,MN,0.015377
1995-07-11,TX,0.014928
1995-07-12,CA,0.083294
1995-07-12,FL,0.013843
1995-07-12,MN,0.028002
1995-07-12,TX,0.018918
1995-07-13,CA,0.048074
1995-07-13,FL,0.020409
1995-07-13,MN,0.027632
1995-07-13,TX,0.026324
1995-07-14,CA,0.022684
1995-07-14,FL,0.02229
1995-07-14,MN,0.018063
1995-07-14,TX,0.034512
1995-07-15,CA,0.023354
1995-07-15,FL,0.017788
1995-07-15,MN,0.017636
1995-07-15,TX,0.032318
1995-07-16,CA,0.031779
1995-07-16,FL,0.014313
1995-07-16,MN,0.005334
1995-07-16,TX,0.02801
1995-07-17,CA,0.028139
1995-07-17,FL,0.021271
1995-07-17,MN,0.062479
1995-07-17,TX,0.023254
1995-07-18,CA,0.026724
1995-07-18,FL,0.027536
1995-07-18,MN,0.017998
1995-07-18,TX,0.020045
1995-07-19,CA,0.04169
1995-07-19,FL,0.024938
1995-07-19,MN,0.018792
1995-07-19,TX,0.027204
1995-07-20,CA,0.04684
1995-07-20,FL,0.020695
1995-07-20,MN,0.009057
1995-07-20,TX,0.034986
1995-07-21,CA,0.049393
1995-07-21,FL,0.019504
1995-07-21,MN,0.039528
1995-07-21,TX,0.061014
1995-07-22,CA,0.053087
1995-07-22,FL,0.010565
1995-07-22,MN,0.013694
1995-07-22,TX,0.088768
1995-07-23,CA,0.050789
1995-07-23,FL,0.011921
1995-07-23,MN,0.006836
1995-07-23,TX,0.089943
1995-07-24,CA,0.042762
1995-07-24,FL,0.018288
1995-07-24,MN,0.015079
1995-07-24,TX,0.085842
1995-07-25,CA,0.036379
1995-07-25,FL,0.015589
1995-07-25,MN,0.006546
1995-07-25,TX,0.062066
1995-07-26,CA,0.023966
1995-07-26,FL,0.019319
1995-07-26,MN,0.00552
1995-07-26,TX,0.056289
1995-07-27,CA,0.021913
1995-07-27,FL,0.038353
1995-07-27,MN,0.047136
1995-07-27,TX,0.049827
1995-07-28,CA,0.033198
1995-07-28,FL,0.041459
1995-07-28,MN,0.04822
1995-07-28,TX,0.023984
1995-07-29,CA,0.052646
1995-07-29,FL,0.085026
1995-07-29,MN,0.015119
1995-07-29,TX,0.048047
1995-07-30,CA,0.035907
1995-07-30,FL,0.053368
1995-07-30,MN,0.130862
1995-07-30,TX,0.073295
1995-07-31,CA,0.019348
1995-07-31,FL,0.07316
1995-07-31,MN,0.040572
1995-07-31,TX,0.068623
1995-08-01,CA,0.023146
1995-08-01,FL,0.077683
1995-08-01,MN,0.007621
1995-08-01,TX,0.090162
1995-08-02,CA,0.030342
1995-08-02,FL,0.205567
1995-08-02,MN,0.036407
1995-08-02,TX,0.049005
1995-08-03,CA,0.037535
1995-08-03,FL,0.16673
1995-08-03,MN,0.013603
1995-08-03,TX,0.025404
1995-08-04,CA,0.034397
1995-08-04,FL,0.064869
1995-08-04,MN,0.01499
1995-08-04,TX,0.020679
1995-08-05,CA,0.034055
1995-08-05,FL,0.035774
1995-08-05,MN,0.005541
1995-08-05,TX,0.017956
1995-08-06,CA,0.035852
1995-08-06,FL,0.0186
1995-08-06,MN,0.013794
1995-08-06,TX,0.025846
1995-08-07,CA,0.050614
1995-08-07,FL,0.012058
1995-08-07,MN,0.018864
1995-08-07,TX,0.035624
1995-08-08,CA,0.03805
1995-08-08,FL,0.009006
1995-08-08,MN,0.06907
1995-08-08,TX,0.052166
1995-08-09,CA,0.030536
1995-08-09,FL,0.014201
1995-08-09,MN,0.045881
1995-08-09,TX,0.059831
1995-08-10,CA,0.062915
1995-08-10,FL,0.008519
1995-08-10,MN,0.028483
1995-08-10,TX,0.043663
1995-08-11,CA,0.049239
1995-08-11,FL,0.008145
1995-08-11,MN,0.013439
1995-08-11,TX,0.04837
1995-08-12,CA,0.031106
1995-08-12,FL,0.008259
1995-08-12,MN,0.015614
1995-08-12,TX,0.043688
1995-08-13,CA,0.022432
1995-08-13,FL,0.006793
1995-08-13,MN,0.030877
1995-08-13,TX,0.03976
1995-08-14,CA,0.023237
1995-08-14,FL,0.010537
1995-08-14,MN,0.103534
1995-08-14,TX,0.058739
1995-08-15,CA,0.037624
1995-08-15,FL,0.024323
1995-08-15,MN,0.021964
1995-08-15,TX,0.052713
1995-08-16,CA,0.068427
1995-08-16,FL,0.01276
1995-08-16,MN,0.010424
1995-08-16,TX,0.048661
1995-08-17,CA,0.065601
1995-08-17,FL,0.010378
1995-08-17,MN,0.031094
1995-08-17,TX,0.039859
1995-08-18,CA,0.044712
1995-08-18,FL,0.006486
1995-08-18,MN,0.051124
1995-08-18,TX,0.032358
1995-08-19,CA,0.018963
1995-08-19,FL,0.014568
1995-08-19,MN,0.068729
1995-08-19,TX,0.030215
1995-08-20,CA,0.021648
1995-08-20,FL,0.018736
1995-08-20,MN,0.018126
1995-08-20,TX,0.019222
